,country,city,phase,start_year,end_year,rr,length,tunnelper,tunnel,elevated,atgrade,stations,platform_length_meters,anglo,real_cost_2021,cost_km_2021,country_name,Region,IncomeGroup,2021,rule_of_law,no_corruption,enforcement
14,US,Boston,Green Line Extension,2013,2022,0.0,7.6,0.0,0.0,0.78,6.82,7.0,,1.0,2396.53774375896,315.3339136524947,United States,North America,High income,70219.47245,0.69,0.72,0.71
15,CA,Ottawa,Confederation,2013,2019,0.0,12.5,0.2,2.5,0.84,9.16,13.0,,1.0,1967.8622290183205,157.42897832146565,Canada,North America,High income,52358.62164,0.8,0.82,0.8
16,US,San Francisco,BART to San Jose,2022,2030,0.0,9.6,0.83,8.0,0.0,0.0,4.0,,1.0,9100.0,947.9166666666669,United States,North America,High income,70219.47245,0.69,0.72,0.71
17,BG,Sofia,Line 1 northern,2009,2012,0.0,5.1,0.6,3.1,0.0,0.0,4.0,,0.0,854.7405028983379,167.5961770388898,Bulgaria,Europe & Central Asia,Upper middle income,12222.23565,0.54,0.44,0.52
18,BG,Sofia,Line 1 southern,2013,2015,0.0,3.0,1.0,3.0,0.0,0.0,3.0,,0.0,167.2043863206272,55.73479544020907,Bulgaria,Europe & Central Asia,Upper middle income,12222.23565,0.54,0.44,0.52
19,BG,Sofia,Line 2,2008,2012,0.0,17.0,0.9,15.3,0.0,0.0,11.0,,0.0,3927.608599625784,231.0357999779873,Bulgaria,Europe & Central Asia,Upper middle income,12222.23565,0.54,0.44,0.52
20,BG,Sofia,Line 2 extension,2012,2016,0.0,1.3,1.0,1.3,0.0,0.0,1.0,,0.0,79.80209347120845,61.386225747083415,Bulgaria,Europe & Central Asia,Upper middle income,12222.23565,0.54,0.44,0.52
21,BG,Sofia,Line 3,2016,2021,0.0,12.0,1.0,12.0,0.0,0.0,12.0,,0.0,1791.3088842604948,149.27574035504122,Bulgaria,Europe & Central Asia,Upper middle income,12222.23565,0.54,0.44,0.52
22,BG,Sofia,Line 3 extension (Third Stage),2021,2025,0.0,3.1,1.0,3.1,0.0,0.0,4.0,,0.0,373.5,120.48387096774194,Bulgaria,Europe & Central Asia,Upper middle income,12222.23565,0.54,0.44,0.52
23,PL,Warsaw,Line 2,2010,2015,0.0,6.5,1.0,6.5,0.0,0.0,7.0,,0.0,3878.5365079226817,596.6979242957972,Poland,Europe & Central Asia,High income,17999.83227,0.64,0.72,0.61
24,PL,Warsaw,Line 2 extension to Trocka,2015,2019,0.0,3.1,1.0,3.1,0.0,0.0,3.0,,0.0,681.3162140992166,219.77942390297312,Poland,Europe & Central Asia,High income,17999.83227,0.64,0.72,0.61
25,PL,Warsaw,Line 2 extension to KJ,2015,2020,0.0,3.4,1.0,3.4,0.0,0.0,3.0,,0.0,730.9822558746736,214.99478113960987,Poland,Europe & Central Asia,High income,17999.83227,0.64,0.72,0.61
26,PL,Warsaw,Line 2 extension to Bródno,2018,2022,0.0,4.0,1.0,4.0,0.0,0.0,3.0,,0.0,836.9559949152086,209.23899872880216,Poland,Europe & Central Asia,High income,17999.83227,0.64,0.72,0.61
27,RO,Bucharest,Line 5,2014,2019,0.0,6.9,1.0,6.9,0.0,0.0,10.0,,0.0,2100.760105496923,304.4579863039019,Romania,Europe & Central Asia,High income,14927.11686,0.63,0.55,0.58
28,RU,Moscow,Line 11,2017,2023,0.0,66.7,1.0,66.7,0.0,0.0,31.0,,0.0,21625.19881962669,324.2158743572218,Russian Federation,Europe & Central Asia,Upper middle income,12593.15723,0.46,0.42,0.48
29,RU,Nizhniy Novgorod,Line 2 extension,2015,2018,0.0,2.5,1.0,2.5,0.0,0.0,1.0,,0.0,509.1829404975689,203.67317619902755,Russian Federation,Europe & Central Asia,Upper middle income,12593.15723,0.46,0.42,0.48
30,RU,Saint Petersburg,Line 3 extension,2014,2018,0.0,5.0,1.0,5.0,0.0,0.0,2.0,,0.0,1712.7062544009136,342.5412508801827,Russian Federation,Europe & Central Asia,Upper middle income,12593.15723,0.46,0.42,0.48
31,RU,Saint Petersburg,Line 5 extension,2013,2019,0.0,6.4,0.97,6.2,0.0,0.0,3.0,,0.0,2064.505376926507,322.57896514476664,Russian Federation,Europe & Central Asia,Upper middle income,12593.15723,0.46,0.42,0.48
32,RU,Moscow,Line 1 extension,2016,2019,0.0,11.6,0.14,1.6,0.14,9.836,4.0,,0.0,1771.145609310772,152.68496631989416,Russian Federation,Europe & Central Asia,Upper middle income,12593.15723,0.46,0.42,0.48
33,CZ,Prague,Line A extension,2010,2015,0.0,6.1,0.97,5.9,0.0,0.2,4.0,,0.0,1792.79192313388,293.90031526784924,Czechia,Europe & Central Asia,High income,26822.51419,0.73,0.65,0.71
34,HU,Budapest,Line 4,2006,2014,0.0,7.4,1.0,7.4,0.0,0.0,10.0,,0.0,4448.532692519353,601.1530665566693,Hungary,Europe & Central Asia,High income,18772.14111,0.52,0.49,0.46
35,FR,Toulouse,Line 3,2021,2025,0.0,27.0,0.6,16.2,0.0,0.0,21.0,,0.0,3918.789326977964,145.14034544362826,France,Europe & Central Asia,High income,43658.97898,0.72,0.74,0.76
36,IT,Turin,Line 1 phases 1-3,2000,2011,0.0,13.2,1.0,13.2,0.0,0.0,21.0,55,0.0,1973.655017921147,149.51931953948085,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
37,IT,Turin,Line 1 south (phase 4),2012,2021,0.0,1.9,1.0,1.9,0.0,0.0,2.0,55,0.0,277.3974467411368,145.99865617954566,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
38,IT,Turin,Line 1 west (phase 5),2018,2024,0.0,3.4,1.0,3.4,0.0,0.0,4.0,55,0.0,462.7652611365052,136.10742974603093,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
39,FI,Helsinki,West Metro phase 1,2009,2017,0.0,13.5,1.0,13.5,0.0,0.0,8.0,135,0.0,1770.7028807891588,131.1631763547525,Finland,Europe & Central Asia,High income,53489.75202,0.88,0.89,0.87
40,FI,Helsinki,West Metro phase 2,2014,2023,0.0,7.0,1.0,7.0,0.0,0.0,5.0,90,0.0,1688.416533589267,241.20236194132383,Finland,Europe & Central Asia,High income,53489.75202,0.88,0.89,0.87
41,FI,Helsinki,Ring Rail Line,2009,2015,1.0,18.0,0.44,8.0,0.0,0.0,5.0,,0.0,1187.2242384382869,65.95690213546038,Finland,Europe & Central Asia,High income,53489.75202,0.88,0.89,0.87
42,SE,Stockholm,Arenastaden,2020,2030,0.0,4.1,1.0,4.1,0.0,0.0,2.0,140,0.0,719.922582383014,175.59087375195463,Sweden,Europe & Central Asia,High income,61143.22124,0.86,0.9,0.84
43,SE,Stockholm,Nacka/Söderort,2020,2030,0.0,11.5,1.0,11.5,0.0,0.0,6.0,140,0.0,2664.3386869549645,231.6816249526056,Sweden,Europe & Central Asia,High income,61143.22124,0.86,0.9,0.84
44,SE,Stockholm,Barkarby,2020,2026,0.0,3.3,1.0,3.3,0.0,0.0,2.0,140,0.0,674.3772409138068,204.3567396708505,Sweden,Europe & Central Asia,High income,61143.22124,0.86,0.9,0.84
45,SE,Stockholm,Citybanan,2007,2017,1.0,7.4,0.81,6.0,0.0,0.0,2.0,200,0.0,2469.993054952686,333.7828452638766,Sweden,Europe & Central Asia,High income,61143.22124,0.86,0.9,0.84
46,SE,Malmo,Citytunneln,2005,2010,1.0,17.0,0.35,6.0,0.0,0.0,3.0,,0.0,1370.4564031620555,80.61508253894445,Sweden,Europe & Central Asia,High income,61143.22124,0.86,0.9,0.84
47,UK,London,Northern Line Extension,2015,2021,0.0,3.2,1.0,3.2,0.0,0.0,2.0,,1.0,1950.0288838120105,609.3840261912533,United Kingdom,Europe & Central Asia,High income,46585.89756,0.79,0.82,0.8
48,MX,Mexico City,Line 12,2008,2012,0.0,24.5,0.43,10.5,12.57,1.395,20.0,,0.0,7739.028261547493,315.8787045529589,Mexico,Latin America & Caribbean,Upper middle income,10045.67637,0.43,0.26,0.44
49,TW,Taipei,Wanda Line Phase 2,2021,2028,0.0,13.3,0.2105263157894736,2.8,0.0,0.0,13.0,,0.0,4074.731324893373,306.3707763077724,Taiwan,East Asia & Pacific,High income,33190.0,,,
50,IT,Milan,M5 phase 1,2007,2013,0.0,6.1,1.0,6.1,0.0,0.0,9.0,50,0.0,820.6542722970246,134.5334872618073,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
51,IT,Milan,M5 phase 2,2010,2015,0.0,6.5,1.0,6.5,0.0,0.0,10.0,50,0.0,1152.242702335427,177.2681080516042,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
52,IT,Milan,Line 4,2015,2023,0.0,15.2,1.0,15.2,0.0,0.0,21.0,50,0.0,2337.824658429067,153.80425384401758,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
53,FR,Paris,Grand Paris Express,2017,2030,0.0,200.0,0.8,160.0,0.0,0.0,68.0,,0.0,55387.43216286141,276.93716081430705,France,Europe & Central Asia,High income,43658.97898,0.72,0.74,0.76
54,IT,Milan,Passante Railway (tunnel section only),1984,2004,1.0,7.8,0.9,7.8,0.02,5.18,10.0,250,0.0,2054.2945506692163,263.37109623964307,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
55,VN,Hanoi,Line 3,2010,2013,0.0,12.5,0.32,4.0,8.5,0.0,12.0,,0.0,5121.183632144063,409.694690571525,Vietnam,East Asia & Pacific,Lower middle income,3756.489122,0.49,0.41,0.44
56,VN,Hanoi,Line 2,2011,2020,0.0,11.5,0.74,8.5,2.99,0.0,12.0,,0.0,2816.891244509888,244.94706473999025,Vietnam,East Asia & Pacific,Lower middle income,3756.489122,0.49,0.41,0.44
57,KR,Seoul,Sinbundang,2005,2011,0.0,17.3,1.0,17.3,0.0,0.0,6.0,200,0.0,2289.011167315175,132.3127842378714,"Korea, Rep.",East Asia & Pacific,High income,34997.78164,0.74,0.67,0.74
58,KR,Seoul,Sinbundang Phase 2,2011,2018,0.0,12.8,1.0,12.8,0.0,0.0,7.0,200,0.0,1791.8832118055557,139.99087592230904,"Korea, Rep.",East Asia & Pacific,High income,34997.78164,0.74,0.67,0.74
59,MX,Guadalajara,Line 3,2014,2020,0.0,21.5,0.25,5.4,14.595,1.53,18.0,,0.0,3691.1261015013056,171.68028379075838,Mexico,Latin America & Caribbean,Upper middle income,10045.67637,0.43,0.26,0.44
60,DE,Leipzig,City Tunnel,2003,2013,1.0,3.6,1.0,3.6,0.0,0.0,4.0,,0.0,1570.6727727899754,436.2979924416599,Germany,Europe & Central Asia,High income,51203.55447,0.84,0.83,0.86
61,IT,Rome,Line B1 extension,2005,2015,0.0,4.7,1.0,4.7,0.0,0.0,3.0,150,0.0,1167.5854813279095,248.42244283572543,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
62,IT,Rome,Line C - section T6a,2007,2013,0.0,2.8,1.0,2.8,0.0,0.0,4.0,,0.0,644.569005209671,230.20321614631104,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
63,IT,Rome,Line C - section T4-5,2007,2013,0.0,7.6,1.0,7.6,0.0,0.0,9.0,110,0.0,1948.246166122464,256.3481797529558,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
64,IT,Rome,Line C - section T3,2013,2023,0.0,2.7,1.0,2.7,0.0,0.0,2.0,110,0.0,1207.8385747908262,447.34762029289857,Italy,Europe & Central Asia,High income,35770.04961,0.66,0.64,0.61
65,DE,Berlin,U55,2004,2009,0.0,1.8,1.0,1.8,0.0,0.0,3.0,100,0.0,559.1444444444446,310.63580246913585,Germany,Europe & Central Asia,High income,51203.55447,0.84,0.83,0.86
66,DE,Berlin,U5-U55 connection,2010,2020,0.0,2.2,1.0,2.2,0.0,0.0,3.0,100,0.0,780.2690313353052,354.6677415160477,Germany,Europe & Central Asia,High income,51203.55447,0.84,0.83,0.86
67,BE,Brussels,Line 3,2020,2028,0.0,4.4,1.0,4.4,0.0,0.0,7.0,,0.0,1170.0,265.9090909090909,Belgium,Europe & Central Asia,High income,51268.38804,0.79,0.8,0.81
68,DK,Copenhagen,City Circle Line,2009,2019,0.0,15.5,1.0,15.5,0.0,0.0,17.0,,0.0,3996.285558596919,257.8248747481883,Denmark,Europe & Central Asia,High income,68007.75667,0.9,0.95,0.89
69,NO,Oslo,Løren Line,2013,2016,0.0,1.6,1.0,1.6,0.0,0.0,1.0,,0.0,162.8892128784807,101.80575804905044,Norway,Europe & Central Asia,High income,90655.39102,0.9,0.94,0.88
70,NO,Oslo,Fornebu Line,2020,2029,0.0,8.2,1.0,8.2,0.0,0.0,6.0,,0.0,2719.2,331.609756097561,Norway,Europe & Central Asia,High income,90655.39102,0.9,0.94,0.88
71,AU,Sydney,Metro City & SW,2017,2024,0.0,30.0,0.51,15.3,0.0,0.0,7.0,,1.0,10695.0,356.5,Australia,East Asia & Pacific,High income,60444.50236,0.79,0.81,0.81
72,AU,Sydney,Metro NW,2013,2019,0.0,36.0,0.42,15.1,0.0,0.0,13.0,,1.0,6076.325023853472,168.78680621815198,Australia,East Asia & Pacific,High income,60444.50236,0.79,0.81,0.81
73,AU,Melbourne,Metro Tunnel,2018,2025,0.0,9.0,1.0,9.0,0.0,0.0,5.0,,1.0,8683.235999999999,964.804,Australia,East Asia & Pacific,High income,60444.50236,0.79,0.81,0.81
74,SG,Singapore,Downtown MRT Line,2008,2017,0.0,41.9,1.0,41.9,0.0,0.0,34.0,,1.0,29245.69718720873,697.9879996947192,Singapore,East Asia & Pacific,High income,77710.06996,0.78,0.91,0.86
75,SG,Singapore,Thomson MRT Line,2014,2024,0.0,43.0,1.0,43.0,0.0,0.0,32.0,,1.0,29942.080600179142,696.3274558181196,Singapore,East Asia & Pacific,High income,77710.06996,0.78,0.91,0.86
76,CA,Toronto,Eglinton Crosstown,2011,2022,0.0,19.0,0.53,10.0,0.62,8.31,25.0,,1.0,4966.509435141476,261.3952334284987,Canada,North America,High income,52358.62164,0.8,0.82,0.8
77,IN,Mumbai,Monorail,2009,2019,0.0,20.2,0.0,0.0,0.0,0.0,17.0,,0.0,1854.265510948905,91.79532232420324,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
78,IN,Mumbai,Line 3,2016,2022,0.0,33.5,1.0,33.5,0.0,0.0,27.0,,0.0,15940.845742537853,475.8461415682941,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
79,IN,Mumbai,Line 2A,2016,2021,0.0,18.6,0.0,0.0,17.48,1.12,17.0,,0.0,3320.180225959452,178.50431322362644,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
80,IN,Mumbai,Line 2B,2018,2023,0.0,23.5,0.0,0.0,23.5,0.0,22.0,,0.0,5405.998653071161,230.04249587536856,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
81,IN,Mumbai,Line 4,2018,2022,0.0,32.3,0.0,0.0,31.71,0.59,32.0,,0.0,7159.28221404809,221.6496041500957,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
82,IN,Mumbai,Line 4A,2019,2022,0.0,2.7,0.0,0.0,0.0,0.0,2.0,,0.0,417.0674020887729,154.469408181027,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
83,IN,Mumbai,Line 5,2017,2024,0.0,24.9,0.0,0.0,0.0,0.0,16.0,,0.0,4141.597275038543,166.3292078328732,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
84,IN,Mumbai,Line 6,2017,2022,0.0,14.5,0.0,0.0,14.5,0.0,13.0,,0.0,3142.5958201219137,216.7307462153044,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
85,IN,Mumbai,Line 7,2016,2021,0.0,16.5,0.0,0.0,15.505,0.995,14.0,,0.0,3215.550521490839,194.8818497873236,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
86,IN,Mumbai,Line 7A + 9,2019,2022,0.0,13.5,0.16,2.2,0.0,0.0,11.0,,0.0,3207.3820517675067,237.583855686482,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
87,IN,Mumbai,Line 10,2020,2024,0.0,9.2,0.08,0.7,0.0,0.0,4.0,,0.0,1979.1589147255952,215.12596899191252,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
88,IN,Mumbai,Line 11,2020,2026,0.0,12.8,0.69,8.8,0.0,0.0,10.0,,0.0,3669.8091889115,286.70384288371093,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
89,IN,Mumbai,Line 12,2020,2026,0.0,20.8,0.0,0.0,0.0,0.0,17.0,,0.0,2454.136335506378,117.98732382242204,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
90,GR,Athens,Line 4,2019,2027,0.0,12.8,1.0,12.8,0.0,0.0,15.0,,0.0,1726.4,134.875,Greece,Europe & Central Asia,High income,20192.5963,0.61,0.56,0.57
91,GR,Athens,Line 3 to Piraeus,2012,2021,0.0,7.6,1.0,7.6,0.0,0.0,6.0,,0.0,1089.041827946685,143.29497736140593,Greece,Europe & Central Asia,High income,20192.5963,0.61,0.56,0.57
92,GR,Thessaloniki,Main line,2006,2020,0.0,9.5,1.0,9.5,0.0,0.0,13.0,,0.0,1654.6458164368753,174.17324383546057,Greece,Europe & Central Asia,High income,20192.5963,0.61,0.56,0.57
93,GR,Thessaloniki,Kalamaria Extension,2013,2021,0.0,4.8,1.0,4.8,0.0,0.0,5.0,,0.0,814.8334978785902,169.75697872470627,Greece,Europe & Central Asia,High income,20192.5963,0.61,0.56,0.57
94,KR,Busan,Line 1 extension,2009,2017,0.0,8.0,1.0,8.0,0.0,0.0,6.0,,0.0,1282.808692162073,160.35108652025912,"Korea, Rep.",East Asia & Pacific,High income,34997.78164,0.74,0.67,0.74
95,KR,Seoul,Gimpo Urban Railway,2014,2019,0.0,23.7,1.0,23.7,0.0,0.0,10.0,,0.0,2167.863868803827,91.47104931661715,"Korea, Rep.",East Asia & Pacific,High income,34997.78164,0.74,0.67,0.74
96,KR,Seoul,Line 7 extension,2014,2021,0.0,3.9,1.0,3.9,0.0,0.0,2.0,,0.0,525.4355038348564,134.72705226534782,"Korea, Rep.",East Asia & Pacific,High income,34997.78164,0.74,0.67,0.74
97,KR,Seoul,2020s program,2020,2028,0.0,71.0,1.0,71.0,0.0,0.0,53.0,,0.0,7953.22,112.01718309859156,"Korea, Rep.",East Asia & Pacific,High income,34997.78164,0.74,0.67,0.74
98,SG,Singapore,Circle Line Stage 6,2017,2025,0.0,4.0,1.0,4.0,0.0,0.0,3.0,,1.0,5480.499999999999,1370.1249999999998,Singapore,East Asia & Pacific,High income,77710.06996,0.78,0.91,0.86
99,FR,Paris,Line 12 to Aubervilliers,2012,2021,0.0,1.7,1.0,1.7,0.0,0.0,2.0,,0.0,294.18927951388895,173.05251736111114,France,Europe & Central Asia,High income,43658.97898,0.72,0.74,0.76
100,FR,Paris,Line 1 extension,2021,2030,0.0,4.9,1.0,4.9,0.0,0.0,3.0,,0.0,1990.3781209203653,406.1996165143603,France,Europe & Central Asia,High income,43658.97898,0.72,0.74,0.76
101,UK,London,Jubilee line extension,1993,1999,0.0,16.0,0.8,12.8,0.0,0.0,11.0,,1.0,8462.415551306565,528.9009719566603,United Kingdom,Europe & Central Asia,High income,46585.89756,0.79,0.82,0.8
102,CL,Santiago,Line 7,2021,2026,0.0,24.8,1.0,24.8,0.0,0.0,21.0,,0.0,4930.0,198.79032258064515,Chile,Latin America & Caribbean,High income,16247.40102,0.66,0.69,0.64
103,CL,Santiago,Project 63,2013,2019,0.0,37.0,1.0,37.0,0.0,0.0,28.0,,0.0,5757.944559950335,155.62012324190096,Chile,Latin America & Caribbean,High income,16247.40102,0.66,0.69,0.64
104,BR,Sao Paulo,Line 5 extension,2010,2019,0.0,12.0,1.0,12.0,0.0,0.0,11.0,,0.0,4343.788650648825,361.9823875540688,Brazil,Latin America & Caribbean,Upper middle income,7696.785531,0.5,0.43,0.49
105,BR,Salvador,Lines 1-2,2000,2017,0.0,33.0,0.04,1.4,10.935,20.745,20.0,,0.0,3512.316175509813,106.4338235002974,Brazil,Latin America & Caribbean,Upper middle income,7696.785531,0.5,0.43,0.49
106,PA,Panama City,Line 1,2010,2014,0.0,13.7,0.53,7.3,4.69,1.749,12.0,,0.0,4125.626062527767,301.1405885056764,Panama,Latin America & Caribbean,High income,15491.28979,0.52,0.41,0.51
107,PA,Panama City,Line 2,2015,2019,0.0,21.0,0.0,0.0,21.0,0.0,16.0,,0.0,4732.799694027414,225.37141400130545,Panama,Latin America & Caribbean,High income,15491.28979,0.52,0.41,0.51
108,PA,Panama City,Line 3,2020,2024,0.0,26.7,0.0,0.0,0.0,0.0,14.0,,0.0,5459.541221972792,204.4771993248237,Panama,Latin America & Caribbean,High income,15491.28979,0.52,0.41,0.51
109,PH,Manila,Line 9,2019,2025,0.0,28.3,1.0,28.3,0.0,0.0,13.0,,0.0,19632.8,693.73851590106,Philippines,East Asia & Pacific,Lower middle income,3460.539401,0.46,0.44,0.48
110,PH,Manila,Line 7,2015,2021,0.0,22.8,0.15,3.4,0.0,0.0,14.0,,0.0,4112.9962725053465,180.39457335549764,Philippines,East Asia & Pacific,Lower middle income,3460.539401,0.46,0.44,0.48
111,PH,Manila,Line 5,2019,2025,0.0,11.0,1.0,11.0,0.0,0.0,10.0,,0.0,6650.0,604.5454545454545,Philippines,East Asia & Pacific,Lower middle income,3460.539401,0.46,0.44,0.48
112,PH,Manila,Line 4,2021,2025,0.0,15.6,0.0,0.0,0.0,0.0,11.0,,0.0,3261.5,209.0705128205128,Philippines,East Asia & Pacific,Lower middle income,3460.539401,0.46,0.44,0.48
113,AT,Vienna,Line 2 extension,2010,2013,0.0,4.2,0.0,0.0,2.63,1.57,3.0,,0.0,490.9689277594363,116.89736375224672,Austria,Europe & Central Asia,High income,53637.70571,0.81,0.82,0.82
114,AT,Vienna,Line 1 extension,2012,2017,0.0,4.7,0.57,2.7,0.06,2.008,5.0,,0.0,891.7360358117772,189.7310714493143,Austria,Europe & Central Asia,High income,53637.70571,0.81,0.82,0.82
115,AT,Vienna,U2/U5 cross,2019,2029,0.0,9.0,1.0,9.0,0.0,0.0,11.0,,0.0,2860.0,317.77777777777777,Austria,Europe & Central Asia,High income,53637.70571,0.81,0.82,0.82
116,IN,Kochi,Metro,2013,2017,0.0,13.0,0.0,0.0,0.0,0.0,11.0,,0.0,3080.0562676938785,236.92740520722143,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
117,IN,Delhi,Phase 3,2012,2020,0.0,160.6,0.33,53.0,0.0,0.0,109.0,,0.0,23189.27495864704,144.3915003651746,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
118,IN,Delhi,Phase 4 first half,2019,2025,0.0,61.7,0.36,22.3,0.0,0.0,46.0,,0.0,11725.8655,190.04644246353325,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
119,IN,Delhi,Phase 4 second half,2019,2025,0.0,42.3,0.35,14.7,0.0,0.0,43.0,,0.0,10122.0845,239.2927777777778,India,South Asia,Lower middle income,2238.127139,0.5,0.4,0.48
120,IR,Tehran,Line 3 extension to SW,2012,2014,0.0,12.0,1.0,12.0,0.0,0.0,11.0,,0.0,2791.622488270368,232.635207355864,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,4084.200305,0.42,0.4,0.45
121,IR,Tehran,Line 6,2018,2020,0.0,31.0,1.0,31.0,0.0,0.0,29.0,,0.0,6367.441253263708,205.40133075044216,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,4084.200305,0.42,0.4,0.45
122,IR,Tehran,Line 7,2017,2019,0.0,27.0,1.0,27.0,0.0,0.0,25.0,,0.0,6367.441253263708,235.83115752828547,"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,4084.200305,0.42,0.4,0.45
123,ES,Madrid,1995-98 program,1995,1998,0.0,56.0,0.68,38.0,0.0,0.0,37.0,,0.0,3332.255685358256,59.50456580996885,Spain,Europe & Central Asia,High income,30103.51373,0.73,0.74,0.71
124,ES,Madrid,1999-2003 program,1999,2003,0.0,75.0,0.77,58.0,0.0,0.0,39.0,,0.0,6037.918478260871,80.50557971014494,Spain,Europe & Central Asia,High income,30103.51373,0.73,0.74,0.71
125,PT,Lisbon,Circular line,2021,2023,0.0,2.0,1.0,2.0,0.0,0.0,2.0,,0.0,280.8,140.4,Portugal,Europe & Central Asia,High income,24598.47279,0.7,0.72,0.61
126,PT,Porto,"Pink line, yellow line",2019,2023,0.0,6.0,0.47,2.8,0.0,0.0,7.0,,0.0,400.4,66.73333333333333,Portugal,Europe & Central Asia,High income,24598.47279,0.7,0.72,0.61
